playerId,total_contribution,firstName,lastName,wyId,age,role,minutesPlayed,contribution_per_90,place
20815,7.8987725456516635,Andrea,Barberis,20815.0,24.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3123.0,0.22763033272771366,66
342743,8.181064211229215,Lucas,Tousart,342743.0,21.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3240.0,0.22725178364525597,67
14802,5.361443480288522,Marvin,Bakalorz,14802.0,28.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2125.0,0.22707290034163152,68
56441,8.565302128338715,Lukas,Lerager,56441.0,24.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3400.0,0.22672858575014246,69
360992,5.9292109485366415,Denis Lemi,Zakaria Lako Lado,360992.0,21.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2359.0,0.226209828473208,70
302799,8.48208027980103,Rolando,Mandragora,302799.0,21.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3380.0,0.22585420863375524,71
20866,5.911958483896125,Davide,Astori,20866.0,31.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2357.0,0.22574300532484143,72
15781,5.300536407128461,Ja-Cheol,Koo,15781.0,29.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2114.0,0.22566143644350117,73
26311,7.013733230452748,Romain,Amalfitano,26311.0,28.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2798.0,0.22560256995737932,74
14838,5.572913921034635,Christoph,Kramer,14838.0,27.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2224.0,0.22552259572532246,75
55990,7.227633772164896,Thomas,Delaney,55990.0,26.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2891.0,0.2250041644741753,76
25541,8.381528134862798,Jordan,Veretout,25541.0,25.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3353.0,0.22497391355134264,77
247207,6.232787474861834,Joan,Jord\u00e1n Moreno,247207.0,24.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2503.0,0.2241114153965502,78
20443,6.39406995749371,Miralem,Pjani\u0107,20443.0,28.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2571.0,0.2238297534711917,79
41034,6.293289975781927,Rafael,Tol\u00f3i,41034.0,27.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2541.0,0.22290283267232325,80
425925,5.483867609966465,Kai,Havertz,425925.0,19.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2217.0,0.22261979472123672,81
20404,7.22698699333213,Bryan,Cristante,20404.0,23.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2923.0,0.22252098166263826,82
214062,7.263721437689829,Alejandro,Granell Nogu\u00e9,214062.0,29.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2939.0,0.22243447750666367,83
3463,7.482331850365211,Federico Juli\u00e1n,Fazio,3463.0,31.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",3042.0,0.2213707648037045,84
3476,7.14799357863686,Ivan,Rakiti\u0107,3476.0,30.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2920.0,0.22031487057442375,85
37732,5.163168106583247,Lucas Rodrigo,Biglia,37732.0,32.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2135.0,0.21765111456322822,86
25492,7.370197855813644,Thomas,Monconduit,25492.0,27.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3048.0,0.21762395243544225,87
4805,6.033696364761736,Anaitz,Arbilla Zabala,4805.0,31.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2501.0,0.21712621864396492,88
217031,5.917963904315812,Thomas Teye,Partey,217031.0,25.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2460.0,0.21651087454813944,89
3650,5.916862482550819,Tom\u00e1s,Pina Isla,3650.0,30.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2469.0,0.2156814999714758,90
15051,6.702012541710833,Lars,Stindl,15051.0,29.0,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",2824.0,0.21359105125848973,91
14857,6.4215060875549534,Kyriakos,Papadopoulos,14857.0,26.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2707.0,0.21349669297375168,92
15178,5.374687623462453,Stefan,Bell,15178.0,26.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2267.0,0.21337533573516576,93
274344,6.310424395756708,Baptiste,Santamaria,274344.0,23.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2668.0,0.2128703881627075,94
28122,5.503247620746586,Yassine,Benzia,28122.0,23.0,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",2331.0,0.21248060311762879,95
51004,5.613252404133097,Celso,Borges Mora,51004.0,29.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2382.0,0.21208762232240919,96
21564,7.695373245251373,Ivan,Radovanovi\u0107,21564.0,29.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3274.0,0.211540498494998,97
20653,5.907344265876175,Perparim,Hetemaj,20653.0,31.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2516.0,0.21131199679207302,98
341973,6.832741620557963,Nordi,Mukiele Mulere,341973.0,20.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2911.0,0.21124931152532347,99
399676,6.366785139058757,Pablo,Fornals Malla,399676.0,22.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2714.0,0.2111314158125601,100
22162,6.072218391669161,Francesco,Magnanelli,22162.0,33.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2591.0,0.2109222907179562,101
14852,5.664978419961803,Sergio,Escudero Palomo,14852.0,28.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2423.0,0.21042016417522172,102
20749,7.010122510745069,Andrea,Bertolacci,20749.0,27.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3001.0,0.21023359745653322,103
15719,5.547813313138296,Benjamin,H\u00fcbner,15719.0,29.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2398.0,0.2082165130035224,104
20689,5.251921675976099,Gast\u00f3n Exequiel,Ram\u00edrez Pereyra,20689.0,27.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2283.0,0.20704027631968852,105
